text,label
"I WON THIS ELECTION, BY A LOT!",Propaganda
WE WILL WIN!,Propaganda
"71,000,000 Legal votes. The most EVER for a sitting President!",Propaganda
I will be making a big statement tonight. A big WIN!,Propaganda
"I can't stand back & watch this happen to a great American City, Minneapolis. A total lack of leadership. Either the very weak Radical Left Mayor, Jacob Frey, get his act together and bring the city under control, or I will send in the National Guard & get the job done right....",Propaganda
"Antifa SCUM ran for the hills today when they tried attacking the people at the Trump Rally, because those people aggresively fought back. Antifa wailted until tonight, when 99% were gone, to attack innocent #MAGA People. DC Police, get going -  do you job and don't hold back!!!",Propaganda
"“False Flag does not mean false report! The shooting is very real, but the motives and reports coming out may not be. Listen. Take notes. Listen for changes. #FalseFlag #QAnon” @20Sections 2/14/18",Propaganda
"“Parkland Florida High School Shooting: Three Students have testified there were multiple shooters, yet no mainstream media outlet has picked it up. #ParklandSchoolShooting #FalseFlag #StrangerThings #2AShallNotBeInfringed #2A” @TrumpsBlonde 3/2/18",Propaganda
“Not a coincidence. No way David Hogg: Happens to be FBI Agent's son Visited CNN Headquarters BEFORE #ParklandShooting Just so happened to WITNESS shooting in #Parkland Then just so happened to be using scripted lines on the #FakeNews MSM to push for #GunControl #QAnon #FalseFlag” @ IWillRedPillYou 2/20/18,Propaganda
"“We #2A all sleep very soundly. What keeps us up at night are #FalseFlag operations intended to disarm and destroy America. Nearly ALL 98% + mass shootings occur in advertised ""GunFree Zones"" Israel has MORE guns per capita... but ZERO mass shootings.” @AJMRC1 2/22/18",Propaganda
"“Once the #MuellerInvestigation is over, if there’s nothing on @POTUS @realDonaldTrump then what are they going to do next? #DeepState coup? #FalseFlag operation? They want Trump impeached or assassinated. #FakeNews is stoking this narrative. @RealAlexJones @DRUDGE @seanhannity” @Jesus_Mohammad 2/7/18",Propaganda
THANK YOU @USCG! GREAT JOB!! https://t.co/eEDn760Ogh,Propaganda
Great job by the U.S. Coast Guard! https://t.co/MhJZgN0Yqc,Propaganda
Last night in North Carolina was incredible! https://t.co/bEfd1v77Nf,Propaganda
"NORTH CAROLINA, VOTE FOR DAN BISHOP TODAY. WE NEED HIM BADLY IN WASHINGTON!",Propaganda
"Back in 2017, she  tweeted an article from the fringe site UNZ Review in Sept. 2017, accusing ""American Jews"" of ""driving America's wars."" https://t.co/JJ4fyHOFwQ",Propaganda
"ABC/Washington Post Poll was the worst and most inaccurate poll of any taken prior to the 2016 Election. When my lawyers protested, they took a 12 point down and brought it to almost even by Election Day. It was a Fake Poll by two very bad and dangerous media outlets. Sad!",Propaganda
